signal_date,ticker,name,market,main_theme,specific_signal,trigger_type,confidence,watch_keywords,chart_score,entry_risk,rsi14,volume_ratio_20d,value_ratio_20d,distance_ma20_pct,upper_shadow_pct,close_position_pct,high_20d_breakout,high_60d_breakout,trend_state,candle_state,pattern,close_on_signal_date,entry_price_next_open,exit_close_1d,exit_close_3d,exit_close_5d,exit_close_10d,return_1d,return_3d,return_5d,return_10d,max_gain_5d,max_drawdown_5d,max_gain_10d,max_drawdown_10d,strategy_eligible,exclusion_reasons,strategy_entry_price,strategy_exit_price,strategy_exit_reason,strategy_exit_date,strategy_return_pct,profitability_score,score_label,score_breakdown,consecutive_days,cluster_size,bars_available,note
20260512,003060,에이프로젠바이오로직스,KOSPI,바이오,퇴행성관절염 신약 승인 기대,rumor,high,"퇴행성관절염 신약, 에이프로젠 승인",52,extreme,87.6,2.73,17.77,422.99,0.0,100.0,False,False,uptrend,strong_close,momentum_watch,3770.0,4565.0,4900.0,,,,7.34,,,,39.54,-6.9,39.54,-6.9,False,"entry_risk_high, chart_score_low, distance_ma20_overheat",,,not_eligible,,,18,avoid,"{""conf_high"": 12, ""value_ratio_3x"": 8, ""close_pos_70"": 5, ""entry_risk_high"": -20, ""rsi_overheat"": -10, ""distance_ma20"": -12, ""chart_below_60"": -15}",3,1,2,
20260512,007460,에이프로젠,KOSPI,바이오,퇴행성관절염 신약 AP209 8월초 환자 투약 예정,disclosure,high,"퇴행성관절염 신약 AP209, 임상 3상 생략 승인",52,extreme,91.12,7.81,46.75,455.82,0.0,100.0,False,False,uptrend,strong_close,momentum_watch,5200.0,5700.0,6760.0,,,,18.6,,,,36.84,-8.6,36.84,-8.6,False,"entry_risk_high, chart_score_low, distance_ma20_overheat",,,not_eligible,,,28,avoid,"{""conf_high"": 12, ""trigger_strong"": 10, ""value_ratio_3x"": 8, ""close_pos_70"": 5, ""entry_risk_high"": -20, ""rsi_overheat"": -10, ""distance_ma20"": -12, ""chart_below_60"": -15}",3,1,2,
20260512,014910,성문전자,KOSPI,수급,성문전자가 코스피 거래상위에 오르며 상한가 도달,technical,low,"코스피 거래상위, 기술적 수급",85,high,74.79,8.14,10.82,37.72,0.0,100.0,True,True,strong_uptrend,strong_close,volume_breakout,2535.0,3100.0,3295.0,,,,6.29,,,,33.87,-9.68,33.87,-9.68,False,"confidence_low, entry_risk_high, distance_ma20_overheat",,,not_eligible,,,26,avoid,"{""chart_80"": 12, ""breakout_60d"": 8, ""value_ratio_3x"": 8, ""close_pos_70"": 5, ""conf_low"": -25, ""entry_risk_high"": -20, ""distance_ma20"": -12}",2,1,2,
20260512,014915,성문전자우,KOSPI,unknown,알 수 없음,unknown,low,"거래정지 예고, 시장 테마성 움직임",85,high,75.65,40.52,52.54,29.02,0.0,100.0,True,True,uptrend,strong_close,volume_breakout,5850.0,6960.0,7600.0,,,,9.2,,,,12.5,-13.65,12.5,-13.65,False,"confidence_low, trigger_unknown, entry_risk_high, distance_ma20_overheat",,,not_eligible,,,6,avoid,"{""chart_80"": 12, ""breakout_60d"": 8, ""value_ratio_3x"": 8, ""close_pos_70"": 5, ""conf_low"": -25, ""trigger_unknown"": -20, ""entry_risk_high"": -20, ""distance_ma20"": -12}",2,1,2,
20260512,012205,계양전기우,KOSPI,수급,우선주 인기 상승 및 관련 투자자 관심 증대,technical,medium,"우선주 투자자 관심, 투자경고종목 지정",67,extreme,81.79,0.42,0.76,91.57,0.0,100.0,True,True,strong_uptrend,strong_close,trend_continuation,17570.0,22800.0,22800.0,,,,0.0,,,,17.98,-21.71,17.98,-21.71,False,"entry_risk_high, value_ratio_low, distance_ma20_overheat",,,not_eligible,,,17,avoid,"{""conf_medium"": 6, ""breakout_60d"": 8, ""close_pos_70"": 5, ""entry_risk_high"": -20, ""rsi_overheat"": -10, ""distance_ma20"": -12, ""value_ratio_low"": -10}",4,1,2,
20260512,012200,계양전기,KOSPI,테마성,주가 상한가 및 거래량 급증,rumor,low,"계양전기 주가 급등, 계양전기 거래량 증가",79,extreme,81.16,7.08,9.99,54.09,0.0,100.0,True,True,strong_uptrend,strong_close,volume_breakout,10990.0,11910.0,12380.0,,,,3.95,,,,16.71,-14.27,16.71,-14.27,False,"confidence_low, entry_risk_high, distance_ma20_overheat",,,not_eligible,,,12,avoid,"{""chart_70"": 8, ""breakout_60d"": 8, ""value_ratio_3x"": 8, ""close_pos_70"": 5, ""conf_low"": -25, ""entry_risk_high"": -20, ""rsi_overheat"": -10, ""distance_ma20"": -12}",2,1,2,
20260512,005257,녹십자홀딩스2우,KOSPI,바이오,자회사 메이드사이언티픽의 세포치료제 상업화 이슈,rumor,medium,"메이드사이언티픽 세포치료제, 바이오 상업화",71,high,47.0,4.49,4.52,4.31,53.1,46.9,True,True,recovering,long_upper_shadow,ma20_recovery,24400.0,31700.0,28500.0,,,,-10.09,,,,0.0,-18.14,0.0,-18.14,False,"entry_risk_high, upper_shadow_overheat",,,not_eligible,,,48,weak,"{""conf_medium"": 6, ""chart_70"": 8, ""breakout_60d"": 8, ""value_ratio_3x"": 8, ""entry_risk_high"": -20, ""upper_shadow"": -12}",2,1,2,
20260512,005250,녹십자홀딩스,KOSPI,바이오,아티바 NK세포치료제 임상 3상 진입 및 3억 달러 조달,contract,high,"NK세포치료제, 임상 3상, 아티바, 3억 달러 조달",75,high,49.19,20.83,21.32,2.09,65.1,34.9,True,True,recovering,long_upper_shadow,ma20_recovery,14320.0,17970.0,16380.0,,,,-8.85,,,,0.22,-14.02,0.22,-14.02,False,"entry_risk_high, upper_shadow_overheat",,,not_eligible,,,64,neutral,"{""conf_high"": 12, ""trigger_strong"": 10, ""chart_70"": 8, ""breakout_60d"": 8, ""value_ratio_3x"": 8, ""entry_risk_high"": -20, ""upper_shadow"": -12}",2,1,2,
20260512,066570,LG전자,KOSPI,실적,1분기 깜짝 실적 및 로봇 사업 확장 가시화,earnings,high,"로봇 사업 확장, 시니어 맞춤형 솔루션",77,high,82.9,6.87,9.05,35.05,29.0,71.0,True,True,strong_uptrend,normal,volume_breakout,184900.0,192800.0,191400.0,,,,-0.73,,,,16.44,-4.62,16.44,-4.62,False,"entry_risk_high, distance_ma20_overheat",,,not_eligible,,,59,neutral,"{""conf_high"": 12, ""trigger_strong"": 10, ""chart_70"": 8, ""breakout_60d"": 8, ""value_ratio_3x"": 8, ""close_pos_70"": 5, ""entry_risk_high"": -20, ""rsi_overheat"": -10, ""distance_ma20"": -12}",2,1,2,
20260512,007610,선도전기,KOSPI,실적,흑자 전환 및 경영 정상화 발표,earnings,medium,"경영 정상화, 흑자 전환, 전력설비",70,high,83.56,9.75,12.83,138.25,39.8,60.2,True,True,strong_uptrend,normal,trend_continuation,14600.0,13980.0,13600.0,,,,-2.72,,,,15.88,-17.88,15.88,-17.88,False,"entry_risk_high, distance_ma20_overheat",,,not_eligible,,,48,weak,"{""conf_medium"": 6, ""trigger_strong"": 10, ""chart_70"": 8, ""breakout_60d"": 8, ""value_ratio_3x"": 8, ""entry_risk_high"": -20, ""rsi_overheat"": -10, ""distance_ma20"": -12}",4,1,2,
