date,market,ticker,name,close,change_pct,volume,status,main_theme,specific_signal,trigger_type,trigger_date,trigger_lag_days,confidence,reasoning,related_stocks,watch_keywords,news_count
20260515,KOSPI,069640,한세엠케이,1613,29.98,1464783,new,패션·리테일(브랜드 캠페인·수급),모이몰른 대규모 강남역 대형 미디어 캠페인(오프라인 광고 집행) 및 계열사 1Q 영업익 흑자 전환 공시(그룹 실적 개선 기대),earnings,2026.05.14,1,medium,"직접적 태그 기사로 '모이몰른의 강남역 대형 미디어 광고'가 5/14에 보도되며 소규모·개미 중심 매수심리를 자극했고, 5/15에 계열사(지주)의 1분기 영업흑자 전환 소식이 나오며 재무적 기대감이 더해져 급등으로 연결된 것으로 판단된다. 또한 소형 저유동 장(동전주) 특성상 광고·실적 호재가 단기 급등을 유발하기 쉽다.","한세예스24홀딩스, 패션·유아복 관련 중소형주","패션 리테일, 브랜드 캠페인, 강남역 대형 미디어 캠페인, 모이프렌즈 제휴 광고, 재무흑자 전환",16
20260515,KOSPI,002960,한국쉘석유,580000,20.08,68820,unclear,technical / 수급,골든크로스(단기·중기 이동평균 교차)에 따른 기술적 반등 및 시장 매체의 '주목 종목' 편입(핀포인트·EBN 보도),technical,2026.05.14,0,low,"제공된 최근 기사들에는 회사 측 공시·실적·수주성 뉴스가 보이지 않으며, 5월14일 다수 매체가 '골든크로스 종목'·상승 후보로 한국쉘석유를 언급한 점이 당일 급등과 직결된 것으로 보입니다. 또한 급락장 속 일부 매체·데이터센터 선정으로 소수 투자자·단기매매세력이 몰리며 수급이 집중된 효과가 컸을 가능성이 높습니다.","코나아이, 에스앤디","기술적 골든크로스, 매체 주목 종목, 쉘힐릭스 플레이어 선정, 기관·외국인 순매수, 정유·윤활유 마진",10
20260515,KOSPI,454910,두산로보틱스,127400,19.29,8437915,new,수급·테마(로봇/피지컬 AI) 랠리,피지컬 AI(Physical AI) 모멘텀에 따른 로봇주 동반 강세/테마 순환매,rumor,2026.05.15,0,medium,"당일 다수 기사에서 '반도체 다음은 로봇주', '피지컬 AI 모멘텀' 등으로 로봇 섹터 전반에 매수세가 유입됐고 두산로보틱스는 섹터 수혜·개인 매수 집중으로 급등했다. 별도 공시·실적·수주성 호재가 확인되지 않아 순환매·수급성 테마 랠리로 판단된다.","한화시스템, 현대로템","피지컬 AI 모멘텀, 로봇주 랠리, 서비스·산업용 로봇 수요, K-로봇주 동반상승, 개인 매수 집중",27
20260515,KOSPI,084670,동양고속,65800,17.08,4226180,continuation,정책,서울고속터미널 60층 재개발 기대감,rumor,,0,medium,"이전 분석 재사용 (최초 20260513, 3일째 등장)",천일고속,"정책, 재개발, 서울고속터미널, 60층",12
20260515,KOSPI,033240,자화전자,55700,16.53,1496960,new,제품/수주(이미징·카메라모듈·전장),고배율 줌 및 손떨림 보정(이미지 안정화) 기술 부각으로 전장(자동차)용 카메라 부품 성장 기대,rumor,2026.05.14,0,medium,당일 및 직전 보도에서 자화전자의 '고배율 줌·손떨림 보정' 기술이 부각되며 전장용 카메라 부품 성장 기대감이 확산된 점이 급등의 직접적 촉발로 보인다. 별도 공시나 계약 발표는 확인되지 않아 업종·기술 모멘텀에 따른 테마성 매수로 해석된다.,"삼지전자, 코아시아씨엠, 라이콤","이미지센서·카메라모듈, 전장 카메라 부품 수주, 고배율 줌·손떨림 보정, 로봇·자동화용 카메라, 카메라모듈 공급계약",10
20260515,KOSPI,001800,오리온홀딩스,28300,14.11,1713856,unclear,수급·테마성(소비재·유통),단기 테마성 수급 유입(시장 변동성 속 소비재·유통 섹터 동반매수) — 명확한 공시·실적·수주 없이 시장 내 수급·테마 장세로 급등,technical,,0,low,"주어진 뉴스 목록에서 오리온홀딩스 관련한 공시·실적·계약·정책성 핵심 기사는 확인되지 않으며, 다수 기사가 코스피 전반 변동성과 일부 업종(유통·로봇 등)을 언급하고 있어 개별 호재보다 단기 수급·테마성 매수로 급등한 것으로 추정됩니다. 관련 뉴스가 종목 태그가 아닌 일반 시장 기사에만 등장하고 사전 연속 신호가 약해 confidence가 낮습니다.","오리온, 농심, 롯데칠성","수급(기관/외국인), 코스피 변동성, K-푸드 수출 증가, 지주사 M&A 가능성, 유통 판로 확대",10
20260515,KOSPI,069260,TKG휴켐스,20100,12.86,1351349,new,화학(정밀화학/화학소재),우레탄(폴리우레탄) 공급 부족에 따른 수익성 개선 및 1분기 영업이익(152억) 개선 공시,earnings,2026.05.08,6,high,"직접 태깅된 5월8일 1분기 실적 발표(영업익 152억, 전년比 20.4%↑)가 핵심 호재이고, 이후 업계 기사(우레탄 공급 부족)와 애널리스트 리포트(이란 전쟁 수혜 기대·목표가 상향)가 실적·수익성 개선을 뒷받침하며 투자심리를 끌어올린 것으로 보임. D-day(5/14)의 급등은 이러한 실적 개선 기대와 원재료·수급 이슈가 더해진 수급 쏠림으로 해석된다.","OCI홀딩스, 후성","정밀화학, 우레탄(폴리우레탄) 수급, 우레탄 공급 부족, 1분기 영업이익 개선, 이란 전쟁 수혜",16
20260515,KOSPI,013700,까뮤이앤씨,1400,12.45,3062723,unclear,건설·데이터센터 수주,데이터센터 건축공법으로 주목받는 'PC(프리캐스트) 공법' 및 하이브리드 면진시스템 적용 기대,rumor,2026.05.14,1,low,"직접적인 회사 공시는 확인되지 않으나, 최근 언론에서 데이터센터 시공에 PC공법과 하이브리드 면진시스템이 부각되며 관련 건설주로 수급이 쏠린 것으로 보입니다. 까뮤이앤씨는 건설업 관련 소형주로 분류되어 유사 테마의 섹터랠리에 동반 급등한 가능성이 높습니다.","상지건설, 태영건설","데이터센터, 하이브리드 면진, PC공법 적용, 소규모 재건축",4
20260515,KOSPI,092790,넥스틸,20700,12.07,4462831,new,수급·인프라 수혜,북미 인프라 투자 확대 수혜 전망(시장 댓글·리포트에 의한 매수 흐름),rumor,2026.05.14,1,medium,"직접 공시나 실적 발표는 보이지 않으며, 다수 기사(5/14)가 '북미 인프라 투자 확대 수혜 전망'과 지역(대구·경북) 증시 호조를 근거로 매수 흐름이 형성됐다고 보도함. 따라서 투자심리·수급(기관·테마성 매수)에 따른 급등으로 해석된다.","세아베스틸지주, 동국제강, 포스코홀딩스","북미 인프라 투자, 특수강·강관 수요, 대구·경북 증시 호조, 건설·플랜트 수주, 기관 매수 흐름",11
20260515,KOSPI,000650,천일고속,330500,12.03,643575,continuation,정책,서울고속터미널 60층 재개발 기대감,rumor,,0,high,"이전 분석 재사용 (최초 20260513, 3일째 등장)",동양고속,"정책, 재개발, 서울고속터미널, 기대감",11
