date,market,ticker,name,close,change_pct,volume,status,main_theme,specific_signal,trigger_type,trigger_date,trigger_lag_days,confidence,reasoning,related_stocks,watch_keywords,news_count
20260604,KOSPI,004870,티웨이홀딩스,317,29.92,4276419,new,수급/섹터(항공주) - 유가·지정학 영향,미·이란 종전협상 기대감으로 국제유가 하락 → 항공·저비용항공사(LCC) 업종 강세,rumor,2026.06.04,0,medium,직접적인 회사 공시나 실적 호재 없이 시장·업종 뉴스(하나증권 코멘트 등)에서 유가 하락과 지정학적 위험 완화 기대가 부각되어 항공주에 대한 매수세가 유입된 것으로 보입니다. 티웨이홀딩스는 저유가 수혜가 크고 거래량이 동반된 급등이 나타나 업종 모멘텀에 따른 테마성 급등으로 판단됩니다.,"제주항공, 대한항공","항공주, 국제유가, 지정학 완화, 미·이란 종전협상, 유가 하락 영향, 여객수요 회복",11
20260604,KOSPI,051630,진양화학,2045,29.92,5260656,new,정치/선거(테마주),오세훈 서울시장(5선) 역전·당선 기대(또는 확정)로 인한 오세훈 연고·동문 관련 정치테마 급등,rumor,2026.06.04,0,medium,장중 보도에서 오세훈 관련 정치테마가 부각되며 진양화학이 ‘오세훈 테마주’로 분류되어 매수세가 집중됐다. 별도 공시나 실적·수주 호재 없이 선거 결과·연고성 뉴스가 직접적인 가격 급등 트리거로 작용한 것으로 보인다.,에스제이그룹,"선거(서울시장) 결과, 오세훈 5선, 정치(선거)테마주 급등, 동문 연고 연관주 매매, 정책·지명 관련 테마 확산",24
20260604,KOSPI,071950,코아스,2560,22.2,390043,new,수급/테마(상폐·메자닌·투기성 수급),상장폐지 우려·메자닌 털기·대주주 가압류 보도 후 발생한 단기 반등(숏커버링/테마성 추격매수),technical,2026.06.03,1,medium,"최근 기사들은 낮은 시가총액·벌점 누적·대주주 가압류·메자닌 의심 거래 등으로 유동성·리스크가 부각된 상황이며, 이러한 종목은 변동성이 커 단기적으로 과매도·숏포지션 청산(숏커버)이나 테마성 추격 매수로 급등하기 쉽다. 당일(또는 D-1)에 뚜렷한 호재 공시가 보이지 않으므로 이번 급등은 펀더멘털 개선보다는 수급·투기적 요인으로 판단된다.",,"상장폐지 리스크, 메자닌 털기, 대주주 지분 가압류, 벌점 누적, 숏커버·공매도 청산",11
20260604,KOSPI,489790,한화비전,79500,17.43,2239055,new,그룹·수급(지주사 리레이팅) 및 우주·방산 공급계약 수혜,"한국 정밀제조군단, 스페이스X 등 해외 우주업체 대상 부품·소재 공급 기사(한화 그룹 계열사의 해외 수주·공급망 진입)",contract,2026.06.01,3,medium,한화 계열의 '스페이스X 공급망 진입' 관련 단독 보도(2026.06.01)와 지주사 리레이팅 기대(2026.06.02)가 최근 기관·외국인 수급에 긍정적 재료로 작용하면서 같은 그룹 내 기술·방산/우주 관련 자회사 기대감으로 주가가 급등한 것으로 판단됨. 또한 한화오션·한화세미텍 등 계열의 해외 수주·기술 공급 뉴스가 이날 전후로 이어져 동반 수혜 심리가 강화됨.,"한화에어로스페이스, 한화오션","우주업체 공급망 진입, 지주사 리레이팅, 스페이스X 공급망, 용접 로봇 자율화",21
20260604,KOSPI,004170,신세계,659000,15.82,163545,continuation,유통·백화점 소비(리테일 수요),신세계백화점 '5메이징 카드 위크'(제휴카드 대대적 할인·무이자·리워드) 및 반도체 성과급에 따른 VIP 명품 매출 호조,unknown,,0,medium,"이전 분석 재사용 (최초 20260521, 3일째 등장)","현대백화점, 롯데쇼핑","백화점·유통 소비, 카드 프로모션, 5메이징 카드 위크, 반도체 성과급 소비, 명품 매출 증가",27
20260604,KOSPI,069960,현대백화점,139800,14.78,556045,continuation,ESG / 친환경 소비(유통),재생(재활용) 쇼핑백 3200만장 제작·도입으로 목재 8000톤 절감(나무 5만3000그루 보호),disclosure,,0,medium,"이전 분석 재사용 (최초 20260521, 3일째 등장)","신세계, 롯데쇼핑","ESG 캠페인 확대, 녹색소비, 재생 쇼핑백 3200만장, 목재 8000톤 절감",26
20260604,KOSPI,000810,삼성화재,730000,13.88,443786,new,정책·금리(수급 반응),금리 인상 기대에 따른 보험사 투자수익 개선 기대 및 외국인 대량 순매수(수급 중심 트리거),policy,2026.06.04,0,medium,"당일 다수 보도가 '금리 인상 기대'와 '외국인 매수'를 삼성화재 급등 원인으로 직접 지목하고 있어, 금리 민감 업종인 보험주의 투자수익 개선 기대와 수급(외국인 매수)이 가격을 밀어올린 것으로 판단됩니다. 회사 공시·실적 같은 직접 호재는 없고 시장·정책 기대와 수급이 결합된 움직임입니다.","삼성생명, 한화생명, DB손해보험","금리 인상 기대, 외국인 순매수, 보험업 투자수익, 운용자산 이자수익, 금리 민감도(리프라이싱)",27
20260604,KOSPI,011000,진원생명과학,1220,13.7,6389330,new,바이오,감염병 재확산 공포로 인한 수혜주 관심 확대 및 '합병(인수·합병) 관련 루머/후광'으로 투심 집중,rumor,2026.05.21,14,medium,"종목 태그 기사(2026.05.21)가 '감염병 공포'로 인한 관심 증대와 '아리바이오發 후광, 휴온스랩 합병' 관련 언급으로 주가가 부각되었음을 보인다. 이후 별도의 명확한 공시·실적·수주성 호재는 확인되지 않아 이번 급등은 감염병 테마와 합병 루머 기반의 테마 매수로 판단된다.","아리바이오, 휴온스랩","감염병 재확산, 바이오 M&A 기대, 합병 루머, 감염병 치료제 관련 투자심리",16
20260604,KOSPI,281820,케이씨텍,67700,13.4,320708,new,반도체(장비/부품),반도체 후공정·하이브리드 본딩·장비주 랠리(장비·재료군 전방위 수혜 기대),rumor,2026.06.03,1,medium,"직접 공시 없이 6월 3~4일 반도체 장비·부품 업종 전반의 급등/관심 확산 기사가 다수 보도되며 테마성 매수로 가격이 급등한 것으로 판단됩니다. 케이씨텍은 장비·후공정 관련주라는 연관성으로 동반 상승했을 가능성이 크며, 개별 호재가 확인되지 않아 업종 랠리가 핵심 원인입니다.","한미반도체, 이오테크닉스, 원익IPS","반도체장비, 하이브리드 본딩, HBM 수혜, 웨이퍼 이송 로봇, 후공정 장비 수주",10
20260604,KOSPI,085620,미래에셋생명,19410,12.85,1592402,continuation,수급·밸류업(기업가치 재평가),"계열사 지분 평가·밸류업 기대감(계열사 지분 1,327억원 보유 공시 및 언론 보도에 따른 가치 재평가 기대)",rumor,,0,medium,"이전 분석 재사용 (최초 20260603, 2일째 등장)","삼성생명, 한화생명","밸류업, 자산가치 재평가, 계열사 지분 1,327억원, 변액펀드 고수익, K-ICS 167.6%",10
